field_name	field_location	data_type	units	field_description	allowable_enumeration
in.window_type	metadata	string		Type of windows in the model	Double - No LowE - Clear - Aluminum|Double - No LowE - Tinted/Reflective - Aluminum|Double - LowE - Clear - Thermally Broken Aluminum|Double - LowE - Tinted/Reflective - Aluminum|Triple - LowE - Tinted/Reflective - Thermally Broken Aluminum|Single - No LowE - Tinted/Reflective - Aluminum|Single - No LowE - Clear - Aluminum|Double - LowE - Clear - Aluminum|Double - LowE - Tinted/Reflective - Thermally Broken Aluminum|Single - No LowE - Clear - Wood|Single - No LowE - Tinted/Reflective - Wood|Triple - LowE - Clear - Thermally Broken Aluminum
in.year_built	metadata	string		Year of original building construction	""
out.district_cooling.cooling.energy_consumption	metadata	float	kwh	Building annual district cooling energy consumption for cooling end use	""
out.district_cooling.cooling.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the cooling end use	""
out.district_cooling.total.energy_consumption	metadata	float	kwh	Building annual total site district cooling consumption	""
out.district_cooling.total.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the total end use	""
out.district_heating.cooling.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for cooling end use	""
out.district_heating.cooling.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the cooling end use	""
out.district_heating.heating.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for heating end use	""
out.district_heating.heating.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the heating end use	""
out.district_heating.total.energy_consumption	metadata	float	kwh	Building annual total site district heating consumption	""
out.district_heating.total.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the total end use	""
out.district_heating.water_systems.energy_consumption	metadata	float	kwh	Building annual district service water heating energy consumption for water systems end use	""
out.district_heating.water_systems.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the water systems end use	""
out.electricity.cooling.energy_consumption	metadata	float	kwh	Building annual cooling electricity energy consumption	""
out.electricity.cooling.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the cooling end use	""
out.electricity.exterior_lighting.energy_consumption	metadata	float	kwh	Building annual exterior lighting electricity energy consumption	""
out.electricity.exterior_lighting.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the exterior lighting end use	""
out.electricity.fans.energy_consumption	metadata	float	kwh	Building annual fan electricity energy consumption	""
out.electricity.fans.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the fans end use	""
out.electricity.heat_recovery.energy_consumption	metadata	float	kwh	Building annual heat recovery electricity energy consumption	""
out.electricity.heat_recovery.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heat recovery end use	""
out.electricity.heat_rejection.energy_consumption	metadata	float	kwh	Building annual heat rejection electricity energy consumption	""
out.electricity.heat_rejection.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heat rejection end use	""
out.electricity.heating.energy_consumption	metadata	float	kwh	Building annual heating electricity energy consumption	""
out.electricity.heating.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heating end use	""
out.electricity.interior_equipment.energy_consumption	metadata	float	kwh	Building annual interior equipment electricity energy consumption	""
out.electricity.interior_equipment.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the interior equipment end use	""
out.electricity.interior_lighting.energy_consumption	metadata	float	kwh	Building annual interior lighting electricity energy consumption	""
out.electricity.interior_lighting.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the interior lighting end use	""
out.electricity.pumps.energy_consumption	metadata	float	kwh	Building annual pump electricity energy consumption	""
out.electricity.pumps.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the pumps end use	""
out.electricity.refrigeration.energy_consumption	metadata	float	kwh	Building annual commercial refrigetation electricity energy consumption	""
out.electricity.refrigeration.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the refrigeration end use	""
out.electricity.total.apr.energy_consumption	metadata	float	kwh	Total electricity energy consumption during April	""
out.electricity.total.aug.energy_consumption	metadata	float	kwh	Total electricity energy consumption during August	""
out.electricity.total.dec.energy_consumption	metadata	float	kwh	Total electricity energy consumption during December	""
out.electricity.total.energy_consumption	metadata	float	kwh	Building annual total site electricity energy consumption	""
out.electricity.total.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the total end use	""
out.electricity.total.feb.energy_consumption	metadata	float	kwh	Total electricity energy consumption during Febuary	""
out.electricity.total.jan.energy_consumption	metadata	float	kwh	Total electricity energy consumption during January	""
out.electricity.total.jul.energy_consumption	metadata	float	kwh	Total electricity energy consumption during July	""
out.electricity.total.jun.energy_consumption	metadata	float	kwh	Total electricity energy consumption during June	""
out.electricity.total.mar.energy_consumption	metadata	float	kwh	Total electricity energy consumption during March	""
out.electricity.total.may.energy_consumption	metadata	float	kwh	Total electricity energy consumption during May	""
out.electricity.total.nov.energy_consumption	metadata	float	kwh	Total electricity energy consumption during November	""
out.electricity.total.oct.energy_consumption	metadata	float	kwh	Total electricity energy consumption during October	""
out.electricity.total.sep.energy_consumption	metadata	float	kwh	Total electricity energy consumption during September	""
out.electricity.water_systems.energy_consumption	metadata	float	kwh	Building annual service water heating electricity energy consumption	""
out.electricity.water_systems.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the water systems end use	""
out.natural_gas.cooling.energy_savings	metadata	float	kwh	Building annual saving in natural gas energy for the cooling end use	""
out.natural_gas.heating.energy_consumption	metadata	float	kwh	Building annual heating natural gas energy consumption	""
out.natural_gas.heating.energy_savings	metadata	float	kwh	Building annual saving in natural gas energy for the heating end use	""
